STATE,Median personal earning white,Median personal earning black,Difference_Income_Personal,White poverty rate,Black poverty rate,Difference_poverty,Unemployment white,Unemployment black,Difference_unemployment,White able to work remotely,Black able to work remotely,Difference_Remote_Work,White Diabetes,Black Diabetes,Difference_Diabetes,White Obese,Black Obese,Difference_Obese,"Primary Care Physicians (per 100,000 residents)",White Smokers,Black Smokers,Difference_Smokers,White no health insurance,Black no health insurance,Difference_No_Insurance,White no exercise,Black no exercise,Difference_no_exercise,White fair or poor health,Black fair or poor health,Difference_fair_or_poor_health,White vegetable less than one day,Black vegetable less than one day,Difference_no_vegetable
Alabama,31662,22433,9229,13.00476849,30.26661755,17.26184906,5.554755136,11.50522893,5.950473794,61.8591807,48.33553989,13.52364082,12.7,16.8,4.1,32.3,46.4,14.1,103.5,21.8,20,-1.8,8,12.2,4.2,31,35.1,4.1,21.5,25.9,4.4,22.9,43.3,20.4
Arizona,35370,26466,8904,11.0366354,24.00682649,12.97019109,5.600465148,10.49732908,4.896863932,69.32530409,61.11081003,8.214494056,9.5,11.9,2.4,25.3,31.5,6.2,99.7,14.7,14.8,0.1,6.1,9,2.9,22.4,26.3,3.9,15.6,20.6,5,20.2,28.8,8.6
Arkansas,29783,21467,8316,14.50135582,33.85721634,19.35586052,4.94098778,10.71115786,5.77017008,59.61243555,46.799717,12.81271855,12.5,17.1,4.6,33.6,40.3,6.7,105.3,25,27.3,2.3,7.6,10.2,2.6,34.7,34.7,0,23.2,25.7,2.5,25,46.9,21.9
California,44344,31258,13086,10.03632971,22.48144386,12.44511415,6.192211446,11.92340917,5.731197724,73.23218913,62.99328521,10.23890391,8.3,13.7,5.4,22.3,30.6,8.3,123.3,13.3,14.5,1.2,4.5,6.3,1.8,17.3,19.9,2.6,12.8,20.2,7.4,15,34.2,19.2
Colorado,37842,30200,7642,8.247861276,19.91380674,11.66594546,4.531674166,9.714240102,5.182565936,69.85107284,58.18310556,11.66796729,5.7,11.6,5.9,18.7,23.1,4.4,123.2,15.1,23.6,8.5,5.4,6.6,1.2,15.6,19.2,3.6,11,21.9,10.9,16,33.8,17.8
Connecticut,45599,30269,15330,6.063987546,20.47045846,14.40647091,5.244740257,12.76731455,7.522574293,70.05972042,55.31424388,14.74547653,8.3,14.4,6.1,23.7,36.7,13,169,12.9,16.9,4,3.3,8.9,5.6,20.3,29.3,9,12.7,17.4,4.7,17.9,29.1,11.2
Delaware,38737,29400,9337,7.460181673,20.15297366,12.69279199,5.496239934,6.813387912,1.317147978,66.4849005,56.24358887,10.24131163,11.1,15.1,4,28.9,32.7,3.8,114.3,17.8,17.7,-0.1,4.4,6,1.6,27.9,32.4,4.5,15.6,19.2,3.6,18.5,29.3,10.8
District of Columbia,68900,31571,37329,6.924996136,26.57452489,19.64952875,3.072293741,13.22371686,10.15142312,93.62391223,64.00996783,29.6139444,2.1,14.8,12.7,9.8,35,25.2,325.5,7.7,24.3,16.6,1.9,3.5,1.6,7.9,31.5,23.6,4.4,19.2,14.8,10.9,30.1,19.2
Florida,32279,23321,8958,11.02975076,25.1533853,14.12363454,5.949461158,11.50238681,5.552925652,67.20379471,53.31459099,13.88920372,11.8,13.4,1.6,25.9,35.3,9.4,111.7,17.3,13.9,-3.4,9.5,16.2,6.7,23.6,33.6,10,16.4,20.2,3.8,18.6,32.8,14.2
Georgia,35263,25385,9878,11.09739755,24.8328364,13.73543885,5.226513411,11.07169406,5.845180649,66.607859,55.92264245,10.68521655,10.6,13.4,2.8,27.8,37.3,9.5,107.1,19,16.9,-2.1,10.1,14.6,4.5,24.3,31.5,7.2,16.7,19.7,3,19.3,36.7,17.4
Illinois,38570,25465,13105,8.679904008,28.20595236,19.52604835,4.955104763,16.43263296,11.4775282,66.25580639,55.49135463,10.76445176,9.3,14.8,5.5,29.1,40.6,11.5,138.8,16.1,15.9,-0.2,4.1,8.1,4,23.3,30.4,7.1,13.9,20.7,6.8,22.1,42.6,20.5
